price,city,district,type,listing_type
449990, Bratislava-Devínska Nová Ves,Bratislava,4 izbový byt,sale
499990, Bratislava-Devínska Nová Ves,Bratislava,3 izbový byt,sale
504990, Bratislava-Devínska Nová Ves,Bratislava,Mezonet,sale
259990, Bratislava-Devínska Nová Ves,Bratislava,2 izbový byt,sale
369990, Bratislava-Devínska Nová Ves,Bratislava,3 izbový byt,sale
409990, Bratislava-Devínska Nová Ves,Bratislava,4 izbový byt,sale
229900,Horný Bar,Dunajská,Rodinný dom,sale
396, Malacky,Malacky,"Kancelárie, administratívne priestory",rent
499000, Bratislava-Jarovce,Bratislava,Hausbót,sale
329000, Hodruša-Hámre,Žarnovica,Rodinný dom,sale
178000, Bratislava-Nové Mesto,Bratislava,2 izbový byt,sale
349900, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
167000, Košúty,Galanta,Rodinný dom,sale
439000, Senec,Senec,Rodinný dom,sale
439000, Veľké Úľany,Galanta,Rodinný dom,sale
136000, Senec,Senec,Pozemok pre rodinné domy,sale
479000, Žilina,Žilina,Rodinný dom,sale
219000, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
168000,Šarišská Trstená,Prešov,Rodinný dom,sale
248000,Tulčík,Prešov,Rodinný dom,sale
142900, Prešov,Prešov,2 izbový byt,sale
161900, Prešov,Prešov,1 izbový byt,sale
289999, Bratislava-Ružinov,Bratislava,3 izbový byt,sale
143000, Prešov,Prešov,2 izbový byt,sale
165000, Prešov,Prešov,2 izbový byt,sale
153000, Prešov,Prešov,3 izbový byt,sale
162999, Piešťany,Piešťany,3 izbový byt,sale
219900, Bratislava-Podunajské Biskupice,Bratislava,2 izbový byt,sale
169990, Piešťany,Piešťany,3 izbový byt,sale
264990, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
249990, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
124990, Stupava,Malacky,1 izbový byt,sale
264990, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
409000, Bratislava-Karlova Ves,Bratislava,3 izbový byt,sale
302900, Bratislava-Ružinov,Bratislava,3 izbový byt,sale
499000, Žilina,Žilina,4 izbový byt,sale
1250, Bratislava-Karlova Ves,Bratislava,4 izbový byt,rent
121900, Bratislava-Rača,Bratislava,1 izbový byt,sale
217893, Piešťany,Piešťany,2 izbový byt,sale
246591, Piešťany,Piešťany,3 izbový byt,sale
499900, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
369000, Piešťany,Piešťany,4 izbový byt,sale
239900, Bratislava-Petržalka,Bratislava,4 izbový byt,sale
269990, Bratislava-Ružinov,Bratislava,3 izbový byt,sale
95000,Devičany,Levice,Rodinný dom,sale
800, Bratislava-Nové Mesto,Bratislava,2 izbový byt,rent
89990, Čereňany,Prievidza,Pozemok pre rodinné domy,sale
156000, Bratislava-Podunajské Biskupice,Bratislava,2 izbový byt,sale
1900, Bratislava-Staré Mesto,Bratislava,4 izbový byt,rent
590, Bratislava-Staré Mesto,Bratislava,2 izbový byt,rent
1990, Bratislava-Nové Mesto,Bratislava,4 izbový byt,rent
1990, Bratislava-Nové Mesto,Bratislava,Rodinný dom,rent
1060000, Bratislava-Staré Mesto,Bratislava,5 a viac izbový byt,sale
1100, Žilina,Žilina,"Kancelárie, administratívne priestory",rent
222, Trenčín,Trenčín,4 izbový byt,sale
449999, Senec,Senec,Rodinný dom,sale
379000, Malinovo,Senec,Rodinný dom,sale
529900, Bratislava-Nové Mesto,Bratislava,4 izbový byt,sale
314900, Bratislava-Nové Mesto,Bratislava,2 izbový byt,sale
720, Bratislava-Staré Mesto,Bratislava,2 izbový byt,rent
1250,Bratislava-Staré Mesto,Bratislava,3 izbový byt,rent
295000, Malacky,Malacky,Rodinný dom,sale
195000, Malacky,Malacky,Rodinný dom,sale
519000, Am Strandbad,,4 izbový byt,sale
279000, Bratislava-Ružinov,Bratislava,3 izbový byt,sale
230000, Bratislava-Nové Mesto,Bratislava,2 izbový byt,sale
439000,Trnava,Trnava,Rodinný dom,sale
289999, Dunajská Streda,Dunajská,Rodinný dom,sale
160000, Trnava,Trnava,2 izbový byt,sale
188000,Trnava,Trnava,Rodinný dom,sale
249000,Nové Zámky,Nové,Rodinný dom,sale
59990,Ploské,Košice,Pozemok pre rodinné domy,sale
239800, Bratislava-Petržalka,Bratislava,2 izbový byt,sale
159800, Bratislava-Petržalka,Bratislava,Garsónka,sale
105000,Nižná Kamenica,Košice,Pozemok pre rodinné domy,sale
